,Player,FantPos,Age,G,Y/A,Y/R,PPR,VBD,PosRank,OvRank,Year,Cmp/G,PassAtt/G,PassYds/G,PassTD/G,Int/G,RushAtt/G,RushYds/G,RushTD/G,Tgt/G,Rec/G,RecYds/G,RecTD/G,TotTD/G,PPG,ID,Next Year PPG
10,AdrianKillins,RB,22,1,-12.00,2.00,0,0,166,0,2020,0.0,0.0,0.0,0.0,0.0,1.0,-12.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,AdrianKillins2020,NaN
11,AdrianPeterson,RB,35,16,3.87,8.42,124.5,0,33,0,2020,0.0,0.0,0.0,0.0,0.0,9.75,37.75,0.438,1.125,0.75,6.312,0.0,0.438,7.781,AdrianPeterson2020,NaN
12,AlbertOkwuegbunam,TE,22,4,0,11.00,29.1,0,63,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,2.75,30.25,0.25,0.25,7.275,AlbertOkwuegbunam2020,NaN
13,AlecIngold,RB,24,16,1.33,9.17,29.4,0,100,0,2020,0.0,0.0,0.0,0.0,0.0,0.188,0.25,0.0,1.062,0.75,6.875,0.062,0.062,1.838,AlecIngold2020,NaN
14,AlexArmah,RB,26,16,1.50,3.60,7.7,0,143,0,2020,0.0,0.0,0.0,0.0,0.0,0.375,0.562,0.0,0.562,0.312,1.125,0.0,0.0,0.481,AlexArmah2020,NaN
15,AlexCollins,RB,26,3,4.28,4.00,21.1,0,95,0,2020,0.0,0.0,0.0,0.0,0.0,6.0,25.667,0.667,0.667,0.333,1.333,0.0,0.667,7.033,AlexCollins2020,NaN
16,AlexErickson,WR,28,16,1.40,11.58,22.6,0,165,0,2020,0.0,0.062,0.0,0.0,0.0,0.312,0.438,0.0,1.062,0.75,8.688,0.0,0.0,1.412,AlexErickson2020,NaN
17,AlexSmith,QB,36,8,0.30,0,71.6,0,36,0,2020,21.0,31.5,197.75,0.75,1.0,1.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,8.95,AlexSmith2020,NaN
18,AlexanderMattison,RB,22,13,4.52,9.62,86.9,0,50,0,2020,0.0,0.0,0.0,0.0,0.0,7.385,33.385,0.154,1.154,1.0,9.615,0.077,0.231,6.685,AlexanderMattison2020,NaN
19,AlfredMorris,RB,32,9,4.33,6.33,40.7,0,78,0,2020,0.0,0.0,0.0,0.0,0.0,6.111,26.444,0.111,0.444,0.333,2.111,0.111,0.222,4.522,AlfredMorris2020,NaN
20,AllenLazard,WR,25,10,8.50,13.67,97.8,0,75,0,2020,0.0,0.0,0.0,0.0,0.0,0.2,1.7,0.0,4.6,3.3,45.1,0.3,0.3,9.78,AllenLazard2020,NaN
21,AllenRobinson,WR,27,16,-1.00,12.25,262.9,35,12,38,2020,0.0,0.0,0.0,0.0,0.0,0.062,-0.062,0.0,9.438,6.375,78.125,0.375,0.375,16.431,AllenRobinson2020,NaN
22,AlshonJeffery,WR,30,7,0,19.17,23.5,0,144,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.857,0.857,16.429,0.143,0.143,3.357,AlshonJeffery2020,NaN
23,AlvinKamara,RB,25,15,4.98,9.11,377.8,165,2,2,2020,0.0,0.0,0.0,0.0,0.0,12.467,62.133,1.067,7.133,5.533,50.4,0.333,1.4,25.187,AlvinKamara2020,NaN
